video_id,equipment_id,start_frame,end_frame,start_time,end_time,pred_action,confidence
104154,1,63,127,2.52,5.08,load_bucket,0.6858112514019012
104154,1,127,255,5.08,10.2,idle,0.7930971533060074
104154,1,255,639,10.2,25.56,load_bucket,0.5778576135635376
104154,1,639,863,25.56,34.52,idle,0.6848884863512856
104154,1,863,959,34.52,38.36,load_bucket,0.6129615008831024
104154,1,959,1183,38.36,47.32,idle,0.6516475209168026
104154,1,1183,1311,47.32,52.44,load_bucket,0.6268475353717804
104154,1,1311,1599,52.44,63.96,idle,0.6361266904407077
104154,1,1599,1727,63.96,69.08,load_bucket,0.7757750302553177
104154,1,1727,1823,69.08,72.92,swing_bucket,0.6272297898928324
104154,1,1823,1855,72.92,74.2,idle,0.7310915589332581
104154,1,1855,1887,74.2,75.48,swing_bucket,0.8646320104598999
104154,1,1887,1919,75.48,76.76,load_bucket,0.5074605941772461
104154,1,1919,1983,76.76,79.32,idle,0.9511354565620422
104154,1,1983,2047,79.32,81.88,load_bucket,0.8402757048606873
104154,1,2047,2111,81.88,84.44,idle,0.9005991220474243
104154,1,2111,2143,84.44,85.72,load_bucket,0.7850285768508911
104154,1,2143,2271,85.72,90.84,idle,0.6542704999446869
104154,1,2271,2303,90.84,92.12,load_bucket,0.9198316335678101
104154,1,2303,2367,92.12,94.68,idle,0.6462867856025696
104154,1,2367,2399,94.68,95.96,load_bucket,0.628023087978363
104154,1,2399,2495,95.96,99.8,idle,0.8352400660514832
104154,1,2495,2527,99.8,101.08,load_bucket,0.8330493569374084
104154,1,2527,2591,101.08,103.64,idle,0.7841817438602448
104154,1,2591,2655,103.64,106.2,load_bucket,0.7090317606925964
104154,1,2655,2943,106.2,117.72,idle,0.69159221318033
104154,1,2943,3007,117.72,120.28,load_bucket,0.5281541496515274
104154,1,3007,3071,120.28,122.84,idle,0.5495679378509521
104154,1,3071,3263,122.84,130.52,load_bucket,0.6174649298191071
104154,1,3263,3327,130.52,133.08,idle,0.8240082859992981
104154,1,3327,3455,133.08,138.2,load_bucket,0.7781184911727905
104154,1,3455,3519,138.2,140.76,idle,0.7342041730880737
104154,1,3519,3711,140.76,148.44,load_bucket,0.6701653301715851
104154,1,3711,4223,148.44,168.92,idle,0.8895882572978735
104154,1,4223,4447,168.92,177.88,load_bucket,0.8448185409818377
104154,1,4447,5119,177.88,204.76,idle,0.9343760723159427
104154,1,5119,5311,204.76,212.44,load_bucket,0.7348424543937048
104154,1,5311,5759,212.44,230.36,idle,0.8943510225840977
104154,1,5759,5951,230.36,238.04,load_bucket,0.8036363025506338
104154,1,5951,6367,238.04,254.68,idle,0.8343728001301105
104154,1,6367,6687,254.68,267.48,load_bucket,0.6618443787097931
104154,1,6687,6719,267.48,268.76,idle,0.49632152915000916
104154,1,6719,6751,268.76,270.04,load_bucket,0.5121591091156006
104154,1,6751,6815,270.04,272.6,idle,0.6722825467586517
104154,1,6815,6847,272.6,273.88,load_bucket,0.5115569829940796
104154,1,6847,6879,273.88,275.16,idle,0.5847379565238953
104154,1,6879,6911,275.16,276.44,load_bucket,0.570500910282135
104154,1,6911,7071,276.44,282.84,idle,0.8234262347221375
104154,1,7071,7199,282.84,287.96,load_bucket,0.7272450253367424
104154,1,7199,7327,287.96,293.08,idle,0.5399285331368446
104154,1,7327,7455,293.08,298.2,load_bucket,0.6330812722444534
104154,1,7455,7487,298.2,299.48,idle,0.5802110433578491
104154,1,7487,7519,299.48,300.76,load_bucket,0.58696049451828
104154,1,7519,8159,300.76,326.36,idle,0.792089769244194
104154,1,8159,8255,326.36,330.2,load_bucket,0.5424613753954569
104154,1,8255,9215,330.2,368.6,idle,0.6370869457721711
104154,1,9215,9919,368.6,396.76,load_bucket,0.8428198911926963
104154,1,9919,9951,396.76,398.04,idle,0.3903447687625885
104154,1,9951,10015,398.04,400.6,load_bucket,0.6224611103534698
104154,1,10015,10399,400.6,415.96,idle,0.6602776795625687
104154,1,10399,10911,415.96,436.44,load_bucket,0.9267107248306274
104154,1,10911,11455,436.44,458.2,idle,0.822552072651246
104154,1,11455,11615,458.2,464.6,load_bucket,0.7858795523643494
104154,1,11615,11647,464.6,465.88,idle,0.5725591778755188
104154,1,11647,11679,465.88,467.16,load_bucket,0.478520929813385
104154,1,11679,11711,467.16,468.44,idle,0.4689559042453766
104154,1,11711,11743,468.44,469.72,load_bucket,0.7388099431991577
104154,1,11743,11807,469.72,472.28,idle,0.8184860944747925
104154,1,11807,11935,472.28,477.4,load_bucket,0.7126419395208359
104154,1,11935,12063,477.4,482.52,idle,0.6847316026687622
104154,1,12063,12095,482.52,483.8,load_bucket,0.786952793598175
104154,1,12095,12191,483.8,487.64,idle,0.8639540672302246
104154,1,12191,12415,487.64,496.6,load_bucket,0.7821951934269497
104154,1,12415,12479,496.6,499.16,idle,0.7718276679515839
104154,1,12479,12575,499.16,503.0,load_bucket,0.7070377866427103
104154,1,12575,12639,503.0,505.56,idle,0.9377817213535309
104154,1,12639,12703,505.56,508.12,load_bucket,0.6875692009925842
104154,1,12703,12799,508.12,511.96,idle,0.7756705482800802
104154,1,12799,13055,511.96,522.2,load_bucket,0.746365949511528
104154,1,13055,13087,522.2,523.48,idle,0.5292090177536011
104154,1,13087,13119,523.48,524.76,load_bucket,0.6933332681655884
104154,1,13119,13215,524.76,528.6,idle,0.6061622699101766
104154,1,13215,13343,528.6,533.72,load_bucket,0.5873378217220306
104154,1,13343,13631,533.72,545.24,idle,0.8562412990464104
104154,1,13631,13919,545.24,556.76,load_bucket,0.8355345924695333
104154,1,13919,14047,556.76,561.88,idle,0.7593881338834763
104154,1,14047,14143,561.88,565.72,swing_bucket,0.5829188625017802
104154,1,14143,15743,565.72,629.72,idle,0.818089781999588
104154,1,15743,15775,629.72,631.0,load_bucket,0.7982656955718994
104154,1,15775,15967,631.0,638.68,idle,0.6723342935244242
104154,1,15967,16031,638.68,641.24,load_bucket,0.6545308232307434
104154,1,16031,16383,641.24,655.32,idle,0.7927308488975872
104154,1,16383,16415,655.32,656.6,load_bucket,0.5317079424858093
104154,1,16415,16419,656.6,656.76,idle,0.7412323951721191
